Abrev. 	quere dizer abreviatura.
norm. 	quere dizer normando.
n. p. 	quere dizer nome próprio.
num. 	quere dizer numeral.
obsol. 	quere dizer obsoleto.
onom. 	quere dizer onomatopeia; onomatopaico.
Ópt. 	quere dizer termo de Óptica.
or. 	quere dizer origem.
Ornit. 	quere dizer Ornithologia.
orthogr. 	quere dizer orthographia.
p. 	quere dizer página.
part. 	quere dizer particípio.
part. irr. 	quere dizer particípio irregular.
Pathol. 	quere dizer termo de Pathologia.
pers. 	quere dizer persa.
peruv. 	quere dizer peruviano.
Pesc. 	quere dizer termo de Pescaria.
pess. 	quere dizer pessôa (verbal).
Pharm. 	quere dizer termo de Pharmacia.
Philol. 	quere dizer termo de Philologia.
Phot. 	quere dizer termo de Photographia.
Phýs. 	quere dizer termo de Phýsica.
Physiol. 	quere dizer termo de Physiologia.
Pint. 	quere dizer termo de Pintura.
pl. 	quere dizer plural.
pleb. 	quere dizer plebeísmo.
poet. 	quere dizer termo poético.
pol. 	quere dizer polaco.
pop. 	quere dizer termo popular.
port. 	quere dizer português.
pov. 	quere dizer povoação.
pref. 	quere dizer prefixo.
prep. 	quere dizer preposição.
pron. 	quere dizer pronome.
pron. ind. 	quere dizer pronome indefinido.
prop. 	quere dizer próprio.
prov. 	quere dizer provincianismo.
Prov. alent. 	quere dizer provincianismo alentejano.
Prov. alg. 	quere dizer provincianismo algarvio.
Prov. beir. 	quere dizer provincianismo beirão.
Prov. dur. 	quere dizer provincianismo duriense.
Prov. extr. 	quere dizer provincianismo extremenho.
Prov. minh. 	quere dizer provincianismo minhoto.
Prov. trasm. 	quere dizer provincianismo trasmontano.
provn. 	quere dizer provençal.
p. us. 	quere dizer pouco usado.
qual. 	quere dizer qualificativo.
quimb. 	quere dizer quimbundo.
rad. 	quere dizer radical.
refl. 	quere dizer reflexo.
restrict. 	quere dizer em sentido restricto.
rev. 	quere dizer revista.
S. 	quere dizer Sul.
Sal. 	quere dizer termo de salinas.
séc. 	quere dizer século.
seg. 	quere dizer seguinte; seguido.
sent. 	quere dizer sentido.
Serr. 	quere dizer termo de Serralharia.
sign. 	quere dizer significação
sing. 	quere dizer singular.
subst. 	quere dizer substantivo.
suf. 	quere dizer suffixo.
suf. v. 	quere dizer suffixo verbal.
sup. 	quere dizer superlativo.
Supplem. 	quere dizer Supplemento.
syr. 	quere dizer syríaco.
t. 	quere dizer termo.
Taur. 	quere dizer termo da Tauromaquia.
Terat. 	quere dizer termo de Teratologia.
Theol. 	quere dizer termo de Theologia.
thibet. 	quere dizer thibetano.
Topogr. 	quere dizer termo de Topographia.
turc. 	quere dizer turco.
unif. 	quere dizer unifórme.
us. 	quere dizer usado.
V. 	quere dizer Veja.
v. 	quere dizer verbo.
vasc. 	quere dizer vasconço.
vb. 	quere dizer verbò.
veloc. 	quere dizer termo de velocipedia.
ven. 	quere dizer termo venatório.
verb. 	quere dizer verbal.
vers. 	quere dizer versificação.
Veter. 	quere dizer termo de Veterinária.
v. g. 	quere dizer verbi-gratia.
v. i. 	quere dizer verbo intransitivo.
vin. 	quere dizer termo de vinificação.
Vit. 	quere dizer termo de Vinicultura.
vº 	quere dizer versò.
voc. 	quere dizer vocábulo.
v. p. ou v. pron. 	quere dizer verbo pronominal.
vulg. 	quere dizer vulgar.
v. t. 	quere dizer verbo transitivo.
zend. 	quere dizer zenda.
Zool. 	quere dizer termo de Zoologia.
